(p1, p2, p3, p4)    X          A          B          C          D          E
(0, 0, 10, 90) 2097.870117 -18.234431 -18.007402 -62.942459 -23.319817 -2728.2081200000002
(0, 0, 10, 90) 2137.800049 -18.823663 -18.795476 -65.147178 -24.677848 -2872.4781
(0, 0, 10, 90) 2177.719971 -19.456814 -19.407491 -67.414514 -25.657669 -2983.33535
(0, 0, 10, 90) 2217.639893 -20.294509 -20.19025 -69.985969 -26.859816 -3117.24313
(0, 0, 10, 90) 2257.570068 -20.84746 -20.906272 -72.66539 -27.479684 -3199.82546
(0, 0, 10, 90) 2297.48999 -21.706305 -22.176852 -75.297133 -28.710375 -3336.9050800000005
(0, 0, 10, 90) 2337.419922 -22.417325 -22.653518 -77.76339 -29.794874 -3459.17256
(0, 0, 10, 90) 2377.340088 -23.071398 -23.467812 -80.72993 -31.031553 -3600.13907
(0, 0, 10, 90) 2417.26001 -23.863078 -24.545043 -82.966045 -32.747166 -3776.90539
(0, 0, 10, 90) 2457.189941 -24.257137 -25.491892 -85.218903 -33.985082 -3910.8464099999997
(0, 0, 10, 90) 2497.110107 -24.407436 -26.072419 -87.635281 -35.053069 -4031.1290200000003
(0, 0, 10, 90) 2537.030029 -24.976559 -26.709105 -90.248585 -37.017797 -4234.08758
(0, 0, 10, 90) 2576.959961 -24.912069 -27.073729 -92.804411 -38.363639 -4380.7716199999995
(0, 0, 10, 90) 2616.879883 -25.402314 -27.466604 -95.434037 -39.826242 -4538.70215
(0, 0, 10, 90) 2656.810059 -25.602057 -28.392224 -97.459229 -41.435426 -4703.78063
(0, 0, 10, 90) 2696.72998 -26.247989 -28.589012 -100.829873 -43.373353 -4911.900500000001
(0, 0, 10, 90) 2736.649902 -26.363034 -28.998334 -105.808082 -45.47398 -5150.73902
(0, 0, 10, 90) 2776.580078 -26.386646 -29.563154 -109.460115 -46.712302 -5298.7083299999995
(0, 0, 10, 90) 2816.5 -26.202283 -29.146798 -109.255159 -47.308778 -5350.3416099999995
(0, 0, 10, 90) 2856.429932 -27.631809 -30.17862 -115.616698 -51.499658 -5791.1362
(0, 0, 10, 90) 2896.350098 -26.985696 -28.976306 -118.055505 -53.223696 -5970.68769
(0, 0, 10, 90) 2936.27002 -27.341386 -28.85116 -119.011303 -53.143089 -5972.991040000001
(0, 0, 10, 90) 2976.199951 -28.969982 -30.112609 -128.157223 -58.834896 -6576.712869999999
(0, 0, 15, 85) 540.840027 -4.493891 -4.798112 -8.463691 -1.442118 -249.53539500000002
(0, 0, 15, 85) 580.76001 -5.153181 -5.446817 -9.945205 -2.012901 -320.27466
(0, 0, 15, 85) 620.690002 -6.076205 -6.081969 -11.45033 -2.600384 -392.78759
(0, 0, 15, 85) 660.609985 -6.770444 -6.605384 -12.769392 -2.942508 -441.65405999999996
(0, 0, 15, 85) 700.539978 -7.418428 -7.181102 -14.398972 -3.303624 -496.79262
(0, 0, 15, 85) 730.47998 -7.850117 -7.554068 -15.497352 -3.669092 -544.3331
(0, 0, 15, 85) 750.440002 -7.964179 -7.706739 -16.047219 -3.839355 -567.05346
(0, 0, 15, 85) 770.400024 -8.34559 -7.782423 -16.740256 -3.958597 -587.5845850000001
(0, 0, 15, 85) 790.369995 -8.548049 -7.777604 -17.219956 -4.160093 -611.9072449999999
(0, 0, 15, 85) 810.330017 -8.690267 -7.61351 -17.68988 -4.363065 -636.208725
(0, 0, 15, 85) 830.289978 -8.827643 -7.427046 -18.168297 -4.575898 -661.475785
(0, 0, 15, 85) 850.25 -8.92044 -7.349163 -18.462665 -4.699265 -676.3774999999999
(0, 0, 15, 85) 870.210022 -9.335201 -7.518239 -19.216064 -5.011108 -714.18514
(0, 0, 15, 85) 890.169983 -9.7416 -7.286324 -19.312454 -5.024339 -716.755625
(0, 0, 15, 85) 910.140015 -9.805917 -7.283362 -19.802782 -5.426196 -758.26839
(0, 0, 15, 85) 930.099976 -10.359537 -7.35948 -21.028299 -5.713858 -801.1024150000001
(0, 0, 15, 85) 950.059998 -10.70768 -7.411586 -21.621995 -5.99358 -833.784225
(0, 0, 15, 85) 970.02002 -10.871665 -7.831378 -22.248371 -6.114661 -853.4717499999999
(0, 0, 15, 85) 989.97998 -11.180048 -8.47782 -23.285199 -6.443953 -897.0139899999999
(0, 0, 15, 85) 1009.950012 -11.937386 -8.899744 -24.416791 -6.927038 -955.050095
(0, 0, 15, 85) 1029.910034 -12.236995 -9.394163 -25.2316 -7.211906 -991.4860100000001
(0, 0, 15, 85) 1049.869995 -12.596027 -9.893889 -26.483681 -7.419411 -1027.90515
(0, 0, 15, 85) 1069.829956 -13.110111 -10.45128 -27.664397 -7.747098 -1073.4692850000001
(0, 0, 15, 85) 1089.790039 -13.515401 -10.886553 -28.19207 -7.986058 -1101.69598
(0, 0, 15, 85) 1109.76001 -13.743826 -11.382753 -28.948311 -8.33077 -1142.340115
